timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1649178590202,6,http://localhost:3000/login-1,304,Not Modified,Thread Group 1-26,,true,,243,583,48,48,http://localhost:3000/favicon.ico,0,0,0
1649178590202,1,http://localhost:3000/login-2,304,Not Modified,Thread Group 1-26,,true,,179,557,48,48,http://localhost:3000/static/js/bundle.js,0,0,0
1649178590202,3,http://localhost:3000/login-3,304,Not Modified,Thread Group 1-26,,true,,181,571,48,48,http://localhost:3000/static/js/vendors~main.chunk.js,0,0,0
1649178590202,1,http://localhost:3000/login-4,304,Not Modified,Thread Group 1-26,,true,,180,562,48,48,http://localhost:3000/static/js/main.chunk.js,0,0,0
1649178590199,11,http://localhost:3000/,200,OK,Thread Group 1-48,text,true,,3810386,2509,48,48,http://localhost:3000/,2,0,1
1649178590199,2,http://localhost:3000/-0,200,OK,Thread Group 1-48,text,true,,2066,485,48,48,http://localhost:3000/,2,0,1
1649178590201,7,http://localhost:3000/-1,200,OK,Thread Group 1-48,bin,true,,5134,496,48,48,http://localhost:3000/favicon.ico,7,0,1
1649178590201,4,http://localhost:3000/-2,200,OK,Thread Group 1-48,text,true,,36158,504,48,48,http://localhost:3000/static/js/bundle.js,4,0,1
1649178590201,9,http://localhost:3000/-3,200,OK,Thread Group 1-48,text,true,,3219284,516,48,48,http://localhost:3000/static/js/vendors~main.chunk.js,6,0,1
1649178590201,1,http://localhost:3000/-4,200,OK,Thread Group 1-48,text,true,,547744,508,48,48,http://localhost:3000/static/js/main.chunk.js,1,0,0
1649178590208,5,http://localhost:8085/api/v1/companies/list,200,,Thread Group 1-26,text,true,,807,344,48,48,http://localhost:8085/api/v1/companies/list,4,0,0
1649178590207,6,http://localhost:8085/api/v1/adverts/getAdverts?offset=0&limit=10&type=COMPANY,200,,Thread Group 1-47,text,true,,2205,402,48,48,http://localhost:8085/api/v1/adverts/getAdverts?offset=0&limit=10&type=COMPANY,5,0,0
1649178590213,2,http://localhost:8085/api/v1/users/roles,200,,Thread Group 1-26,text,true,,608,341,48,48,http://localhost:8085/api/v1/users/roles,2,0,0
1649178590211,4,http://localhost:8085/api/v1/companies/list,200,,Thread Group 1-48,text,true,,807,344,48,48,http://localhost:8085/api/v1/companies/list,4,0,0
1649178590209,8,http://localhost:3000/,200,OK,Thread Group 1-49,text,true,,3810386,2509,48,48,http://localhost:3000/,1,0,1
1649178590209,2,http://localhost:3000/-0,200,OK,Thread Group 1-49,text,true,,2066,485,48,48,http://localhost:3000/,1,0,1
1649178590211,4,http://localhost:3000/-1,200,OK,Thread Group 1-49,bin,true,,5134,496,48,48,http://localhost:3000/favicon.ico,4,0,0
1649178590211,1,http://localhost:3000/-2,200,OK,Thread Group 1-49,text,true,,36158,504,48,48,http://localhost:3000/static/js/bundle.js,1,0,0
1649178590211,6,http://localhost:3000/-3,200,OK,Thread Group 1-49,text,true,,3219284,516,48,48,http://localhost:3000/static/js/vendors~main.chunk.js,4,0,0
1649178590211,2,http://localhost:3000/-4,200,OK,Thread Group 1-49,text,true,,547744,508,48,48,http://localhost:3000/static/js/main.chunk.js,2,0,0
1649178590215,3,http://localhost:8085/api/v1/adverts/categories,200,,Thread Group 1-48,text,true,,602,348,49,49,http://localhost:8085/api/v1/adverts/categories,3,0,0
1649178590218,3,http://localhost:8085/api/v1/companies/list,200,,Thread Group 1-49,text,true,,807,344,49,49,http://localhost:8085/api/v1/companies/list,2,0,0
1649178590218,3,http://localhost:8085/api/v1/adverts/getAdverts?offset=0&limit=10&type=COMPANY,200,,Thread Group 1-48,text,true,,2205,402,49,49,http://localhost:8085/api/v1/adverts/getAdverts?offset=0&limit=10&type=COMPANY,3,0,0
1649178590221,2,http://localhost:8085/api/v1/adverts/categories,200,,Thread Group 1-49,text,true,,602,348,49,49,http://localhost:8085/api/v1/adverts/categories,2,0,0
1649178590223,9,http://localhost:8085/api/v1/adverts/getAdverts?offset=0&limit=10&type=COMPANY,200,,Thread Group 1-49,text,true,,2205,402,49,49,http://localhost:8085/api/v1/adverts/getAdverts?offset=0&limit=10&type=COMPANY,9,0,0
1649178590219,14,http://localhost:3000/,200,OK,Thread Group 1-50,text,true,,3810386,2509,50,50,http://localhost:3000/,1,0,0
1649178590219,1,http://localhost:3000/-0,200,OK,Thread Group 1-50,text,true,,2066,485,50,50,http://localhost:3000/,1,0,0
1649178590220,13,http://localhost:3000/-1,200,OK,Thread Group 1-50,bin,true,,5134,496,50,50,http://localhost:3000/favicon.ico,13,0,0
1649178590220,6,http://localhost:3000/-2,200,OK,Thread Group 1-50,text,true,,36158,504,50,50,http://localhost:3000/static/js/bundle.js,6,0,0
1649178590220,4,http://localhost:3000/-3,200,OK,Thread Group 1-50,text,true,,3219284,516,50,50,http://localhost:3000/static/js/vendors~main.chunk.js,2,0,0
1649178590220,12,http://localhost:3000/-4,200,OK,Thread Group 1-50,text,true,,547744,508,50,50,http://localhost:3000/static/js/main.chunk.js,7,0,0
1649178590234,3,http://localhost:8085/api/v1/companies/list,200,,Thread Group 1-50,text,true,,807,344,50,50,http://localhost:8085/api/v1/companies/list,3,0,0
1649178590165,73,http://localhost:8085/management/api/v1/users/addUser,200,,Thread Group 1-22,text,true,,735,545,51,51,http://localhost:8085/management/api/v1/users/addUser,73,0,0
1649178589939,194,Test,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-22,,true,,3818999,7596,51,51,null,147,106,44
1649178590238,4,http://localhost:8085/api/v1/adverts/categories,200,,Thread Group 1-50,text,true,,602,348,51,51,http://localhost:8085/api/v1/adverts/categories,4,0,0
1649178590234,12,http://localhost:3000/,200,OK,Thread Group 1-51,text,true,,3810386,2509,50,50,http://localhost:3000/,1,0,0
1649178590234,1,http://localhost:3000/-0,200,OK,Thread Group 1-51,text,true,,2066,485,50,50,http://localhost:3000/,1,0,0
1649178590236,3,http://localhost:3000/-1,200,OK,Thread Group 1-51,bin,true,,5134,496,50,50,http://localhost:3000/favicon.ico,3,0,0
1649178590236,0,http://localhost:3000/-2,200,OK,Thread Group 1-51,text,true,,36158,504,50,50,http://localhost:3000/static/js/bundle.js,0,0,0
1649178590239,7,http://localhost:3000/-3,200,OK,Thread Group 1-51,text,true,,3219284,516,50,50,http://localhost:3000/static/js/vendors~main.chunk.js,5,0,3
1649178590236,2,http://localhost:3000/-4,200,OK,Thread Group 1-51,text,true,,547744,508,50,50,http://localhost:3000/static/js/main.chunk.js,1,0,0
1649178590248,4,http://localhost:8085/api/v1/companies/list,200,,Thread Group 1-51,text,true,,807,344,51,51,http://localhost:8085/api/v1/companies/list,3,0,0
1649178590247,5,http://localhost:8085/api/v1/adverts/getAdverts?offset=0&limit=10&type=COMPANY,200,,Thread Group 1-50,text,true,,2205,402,51,51,http://localhost:8085/api/v1/adverts/getAdverts?offset=0&limit=10&type=COMPANY,4,0,0
1649178590252,5,http://localhost:8085/api/v1/adverts/categories,200,,Thread Group 1-51,text,true,,602,348,51,51,http://localhost:8085/api/v1/adverts/categories,5,0,0
1649178590239,18,http://localhost:3000/login,200,OK,Thread Group 1-1,text,true,,2849,2763,51,51,http://localhost:3000/login,7,0,0
1649178590239,7,http://localhost:3000/login-0,200,OK,Thread Group 1-1,text,true,,2066,490,51,51,http://localhost:3000/login,7,0,0
1649178590247,10,http://localhost:3000/login-1,304,Not Modified,Thread Group 1-1,,true,,243,583,51,51,http://localhost:3000/favicon.ico,0,0,0
1649178590249,8,http://localhost:3000/login-2,304,Not Modified,Thread Group 1-1,,true,,179,557,51,51,http://localhost:3000/static/js/bundle.js,0,0,0
1649178590248,8,http://localhost:3000/login-3,304,Not Modified,Thread Group 1-1,,true,,181,571,51,51,http://localhost:3000/static/js/vendors~main.chunk.js,0,0,0
1649178590247,7,http://localhost:3000/login-4,304,Not Modified,Thread Group 1-1,,true,,180,562,51,51,http://localhost:3000/static/js/main.chunk.js,0,0,0
1649178590241,27,http://localhost:3000/,200,OK,Thread Group 1-52,text,true,,3810386,2509,52,52,http://localhost:3000/,6,0,1
1649178590241,6,http://localhost:3000/-0,200,OK,Thread Group 1-52,text,true,,2066,485,52,52,http://localhost:3000/,6,0,1
1649178590248,19,http://localhost:3000/-1,200,OK,Thread Group 1-52,bin,true,,5134,496,52,52,http://localhost:3000/favicon.ico,19,0,0
1649178590247,21,http://localhost:3000/-2,200,OK,Thread Group 1-52,text,true,,36158,504,52,52,http://localhost:3000/static/js/bundle.js,21,0,1
1649178590247,7,http://localhost:3000/-3,200,OK,Thread Group 1-52,text,true,,3219284,516,52,52,http://localhost:3000/static/js/vendors~main.chunk.js,4,0,0
1649178590248,20,http://localhost:3000/-4,200,OK,Thread Group 1-52,text,true,,547744,508,52,52,http://localhost:3000/static/js/main.chunk.js,19,0,0
1649178590257,15,http://localhost:8085/api/v1/companies/list,200,,Thread Group 1-1,text,true,,807,344,53,53,http://localhost:8085/api/v1/companies/list,15,0,0
1649178590269,3,http://localhost:8085/api/v1/companies/list,200,,Thread Group 1-52,text,true,,807,344,53,53,http://localhost:8085/api/v1/companies/list,3,0,0
1649178590257,16,http://localhost:8085/api/v1/adverts/getAdverts?offset=0&limit=10&type=COMPANY,200,,Thread Group 1-51,text,true,,2205,402,53,53,http://localhost:8085/api/v1/adverts/getAdverts?offset=0&limit=10&type=COMPANY,16,0,0
1649178590252,21,http://localhost:3000/login,200,OK,Thread Group 1-10,text,true,,2849,2763,53,53,http://localhost:3000/login,5,0,0
1649178590252,5,http://localhost:3000/login-0,200,OK,Thread Group 1-10,text,true,,2066,490,53,53,http://localhost:3000/login,5,0,0
1649178590268,5,http://localhost:3000/login-1,304,Not Modified,Thread Group 1-10,,true,,243,583,53,53,http://localhost:3000/favicon.ico,0,0,0
1649178590268,4,http://localhost:3000/login-2,304,Not Modified,Thread Group 1-10,,true,,179,557,53,53,http://localhost:3000/static/js/bundle.js,0,0,0
1649178590268,3,http://localhost:3000/login-3,304,Not Modified,Thread Group 1-10,,true,,181,571,53,53,http://localhost:3000/static/js/vendors~main.chunk.js,0,0,0
